8	4589126512587456	1
9	4589126512345666	0
10	4589126512582343	1
11	5589126512587345	0
12	4589126512433344	1
13	4589126512587777	1
14	4589126512583466	1
15	4589126512585654	1
16	4589126512545564	1
17	4589126572587345	1
18	4589126554353455	1
19	4589126512588567	1
20	4589126512587636	1
21	4589126512575464	1
22	4589122343444444	1
23	4589126435455555	1
24	4589126512583423	1
25	5589126512587848	1
26	4589126512587222	1
27	4589126512587812	1
28	4589126512513211	1
29	4589126512587877	1
30	4589126512888888	1
