4589126512587848	Cicely	1245	10/2017
4589126646437848	Michael	1665	12/2017
4589124533656348	Tom	1755	11/2017
4589122352325548	Carly	1166	09/2017
4353426512587848	Davis	6645	08/2017
4589123534534648	Robert	7845	07/2017
4589126512554353	Harvey	145	06/2017
4589126512587456	Mike	245	05/2017
4589126512345666	Liam	5245	04/2017
4589126512582343	Lars	6245	03/2017
5589126512587345	David	8245	02/2017
4589126512433344	Judy	105	01/2017
4589126512587777	Kate	2245	12/2018
4589126512583466	Sandra	6645	11/2018
4589126512585654	Barbara	3445	09/2018
4589126512545564	Andrea	5345	08/2018
4589126572587345	Emily	6545	07/2018
4589126554353455	Julia	2445	06/2018
4589126512588567	Kevin	4745	05/2018
4589126512587636	Chris	8745	04/2018
4589126512575464	Kelly	845	03/2018
4589122343444444	Nick	8245	02/2018
4589126435455555	Brian	445	01/2018
4589126512583423	Daniel	7645	12/2016
5589126512587848	Craig	7245	11/2016
4589126512587222	Allen	7545	10/2016
4589126512587812	Roger	1345	09/2016
4589126512513211	Norman	9945	08/2016
4589126512587877	Stephan	945	10/2016
4589126512888888	Bismack	9995	10/2016
